Num. Pedido;Num.;Tipo Pedido;Estado;Fecha; Total 
18486130;235155;VA - Venta Agrupada;Registrado;21.01.2025 11:30:00; 1.120,95 € 
18486113;978481;VA - Venta Agrupada;Introducido;21.01.2025 11:28:26; 1.344,90 € 
18486076;989840;VA - Venta Agrupada;Registrado;21.01.2025 11:25:00; 50,95 € 
18484603;947529;VA - Venta Agrupada;Registrado;21.01.2025 09:29:38; 605,00 € 
18484550;959227;VA - Venta Agrupada;Registrado;21.01.2025 09:24:20; 335,00 € 
18484268;987598;VA - Venta Agrupada;Registrado;21.01.2025 11:14:13; 1.579,36 € 
18483616;869513;VA - Venta Agrupada;Registrado;21.01.2025 08:19:19; 502,09 € 
18483512;967973;VA - Venta Agrupada;Registrado;21.01.2025 08:09:56; 1.541,00 € 
18483116;778904;VA - Venta Agrupada;Registrado;20.01.2025 18:15:15; 1.204,44 € 
18482652;962153;VA - Venta Agrupada;Registrado;20.01.2025 17:14:07; 1.213,30 € 
18481743;19273;VA - Venta Agrupada;Registrado;20.01.2025 15:44:51; 2.551,87 € 
18481392;19332;VA - Venta Agrupada;Registrado;20.01.2025 14:55:40; 639,60 € 
18481097;967112;VA - Venta Agrupada;Registrado;20.01.2025 15:42:25; 474,20 € 
18480837;944824;VA - Venta Agrupada;Registrado;20.01.2025 12:55:21; 348,30 € 
18480741;19309;VA - Venta Agrupada;Registrado;20.01.2025 12:48:15; 552,44 € 
18480292;953462;VA - Venta Agrupada;Registrado;20.01.2025 12:17:26; 1.646,40 € 
18480060;667376;VA - Venta Agrupada;Registrado;20.01.2025 12:01:22; 630,00 € 
18479941;492971;VA - Venta Agrupada;Registrado;20.01.2025 11:51:48; 2.280,25 € 
18479739;492971;VA - Venta Agrupada;Registrado;20.01.2025 11:34:27; 88,20 € 
18479527;414231;VA - Venta Agrupada;Registrado;20.01.2025 11:19:44; 12,80 € 
18479336;939924;VA - Venta Agrupada;Registrado;20.01.2025 11:03:41; 3.079,00 € 
18479334;967638;VA - Venta Agrupada;Registrado;20.01.2025 11:03:15; 181,37 € 
18479031;980972;VA - Venta Agrupada;Registrado;20.01.2025 10:41:47; 640,00 € 
18478443;221802;VA - Venta Agrupada;Registrado;20.01.2025 09:52:10; 721,00 € 
18478333;952740;VA - Venta Agrupada;Registrado;20.01.2025 09:43:30; 2.838,10 € 
18478245;592511;VA - Venta Agrupada;Registrado;20.01.2025 09:36:17; 2.890,00 € 
18477773;426711;VA - Venta Agrupada;Registrado;20.01.2025 08:56:00; 425,00 € 
18477499;497853;VA - Venta Agrupada;Cancelado;20.01.2025 08:36:09; -   € 
18476749;19285;VA - Venta Agrupada;Cancelado;17.01.2025 17:43:14; -   € 
18476252;19362;VA - Venta Agrupada;Registrado;17.01.2025 16:20:07; 187,00 € 
18476026;341298;VA - Venta Agrupada;Registrado;17.01.2025 15:46:42; 857,75 € 
18475718;439351;VA - Venta Agrupada;Registrado;17.01.2025 14:14:47; 1.803,73 € 
18475666;981070;VA - Venta Agrupada;Registrado;20.01.2025 09:16:30; 296,10 € 
18475402;959936;VA - Venta Agrupada;Registrado;17.01.2025 13:14:38; 144,40 € 
18475172;953876;VA - Venta Agrupada;Registrado;17.01.2025 13:47:26; 52,95 € 
18474677;57912;VA - Venta Agrupada;Cancelado;17.01.2025 12:17:35; -   € 
18474673;57912;VA - Venta Agrupada;Registrado;17.01.2025 12:17:24; 100,00 € 
18474384;967112;VA - Venta Agrupada;Registrado;17.01.2025 11:54:18; 2.960,00 € 
18473389;974423;VA - Venta Agrupada;Registrado;17.01.2025 13:01:17; 302,80 € 
18473128;968347;VA - Venta Agrupada;Registrado;17.01.2025 10:15:09; 750,00 € 
18472039;989716;VA - Venta Agrupada;Registrado;17.01.2025 08:43:25; 1.007,60 € 
18471091;230600;VA - Venta Agrupada;Registrado;16.01.2025 17:43:14; 936,40 € 
18470931;989716;VA - Venta Agrupada;Cancelado;16.01.2025 17:24:51; -   € 
18470423;432191;VA - Venta Agrupada;Registrado;16.01.2025 16:29:32; 685,90 € 
18470359;124066;VA - Venta Agrupada;Registrado;16.01.2025 16:23:46; 62,95 € 
18469946;607651;VA - Venta Agrupada;Registrado;16.01.2025 15:42:56; 24,60 € 
18469740;386171;VA - Venta Agrupada;Registrado;16.01.2025 15:15:26; 1.690,00 € 
18468254;414231;VA - Venta Agrupada;Registrado;16.01.2025 11:53:29; 2.409,00 € 
18468228;414231;VA - Venta Agrupada;Registrado;16.01.2025 11:51:03; 7.348,00 € 
18468085;964778;VA - Venta Agrupada;Registrado;16.01.2025 11:40:59; 71,70 € 
18467999;979616;VA - Venta Agrupada;Registrado;16.01.2025 11:33:36; 390,95 € 
18467400;57720;VA - Venta Agrupada;Registrado;16.01.2025 10:50:03; 5.460,00 € 
18467133;476451;VA - Venta Agrupada;Registrado;16.01.2025 10:27:05; 350,40 € 
18466755;57912;VA - Venta Agrupada;Registrado;16.01.2025 09:58:37; 3.760,00 € 
18466710;607651;VA - Venta Agrupada;Registrado;16.01.2025 09:55:46; 37,50 € 
18465576;980304;VA - Venta Agrupada;Registrado;16.01.2025 08:30:32; 48.750,00 € 
18464959;19362;VA - Venta Agrupada;Registrado;15.01.2025 18:16:36; 378,55 € 
18464667;19362;VA - Venta Agrupada;Registrado;15.01.2025 17:40:05; 713,00 € 
18464535;989576;VA - Venta Agrupada;Registrado;15.01.2025 17:22:51; 1.194,70 € 
18464394;943504;VA - Venta Agrupada;Registrado;15.01.2025 17:10:09; 47,95 € 
18464280;19362;VA - Venta Agrupada;Registrado;15.01.2025 16:58:23; 1.023,20 € 
18464120;981070;VA - Venta Agrupada;Registrado;15.01.2025 16:45:20; 1.054,55 € 
18463776;979616;VA - Venta Agrupada;Cancelado;15.01.2025 16:10:32; -   € 
18463282;820773;VA - Venta Agrupada;Registrado;15.01.2025 15:20:55; 3.240,00 € 
18463166;981942;VA - Venta Agrupada;Registrado;15.01.2025 14:57:44; 2.492,00 € 
18462354;144436;VA - Venta Agrupada;Registrado;15.01.2025 12:44:25; 600,60 € 
18461567;898313;VA - Venta Agrupada;Registrado;15.01.2025 11:44:52; 1.330,45 € 
18461467;279583;VA - Venta Agrupada;Registrado;15.01.2025 11:40:53; 184,40 € 
18461321;988114;VA - Venta Agrupada;Registrado;15.01.2025 11:29:50; 3.301,32 € 
18460662;57912;VA - Venta Agrupada;Registrado;15.01.2025 10:34:39; 6.166,85 € 
18460408;947529;VA - Venta Agrupada;Registrado;15.01.2025 10:43:59; 3.505,00 € 
